Rank,Canonical SMILES,rbl
66,[M]O[P@](=O)(C([P@@](=O)(OC(=O)C)O)(Cl)Cl)OC(=O)C,0.13067925
67,CCCCN(C(=S)SC/C(=[O]\[M])/O)C,0.130468547
68,[M]OC(=O)/C(=N/c1cccc(c1)NC(=O)C(=O)O)/O,0.129806995
69,CON/C(=[O]\[M])/[C]1234[BH]567[BH]891[BH]1%102[BH]2%113[BH]345[BH]456[BH]678[BH]791[BH]1%102[BH]%1134[BH]5671,0.129606426
70,[M]O[P]1(OCC(CO1)(C)C)C(C)C,0.129584253
71,CCN1C=C(/C(=[O]\[M])/O)C(=O)c2c1cc1OCOc1c2,0.129155636
72,COc1c2Cc3cc(cc4c3OCCOCCOCCOCCOCCOc3c(Cc1cc(c2)C(C)(C)C)cc(cc3Cc1c(c(C4)cc(c1)C(C)(C)C)[O]([M])C)C(C)(C)C)C(C)(C)C,0.128785849
73,CC[C@@H]1O[C@H](CC[C@@]1(C)O[M])[C@]1(C)C[C@H]([C@](O1)(O)[C@]1(C)CC[C@H](O1)[C@H]([C@]1(O)O[C@H](C[C@@]2(O)O[C@H](CC[C@@H]2C)[C@H]([C@@H](C[C@H]2CC[C@@H]([C@H](O2)[C@H](C(=O)O)C)C)O)C)[C@H](C[C@H]1C)C)O)C,0.12829417
74,[M][O]=[S@@](=O)(c1ccccc1/N=N/c1ccccc1O)O,0.127694309
75,[M]/[O]=C(\C(CC(=O)O)(CC(=O)O)O)/O,0.126820087
76,O[C@@]1(CS[C@](CS1)(O)C(=O)O)C(=O)O[M],0.125530183
77,[M]OC(=O)c1cc2ccccc2c(c1O)/N=N/c1ccc(cc1[S](=O)(O)O)C,0.124783456
78,[M]OC[C@@H]1CCCCO1,0.124731779
79,[M]/[O]=C(/c1ccc(cc1O)N)\O,0.124469221
80,[M]OCCCCP(c1ccccc1)c1ccccc1,0.124031723
81,OC(=O)COc1c2Cc3cc(cc(c3OCC(=O)O)Cc3cc(cc(Cc4c(c(Cc1cc(c2)C(CC(C)(C)C)(C)C)cc(c4)C(CC(C)(C)C)(C)C)OCC(=O)O)c3[O](CC(=O)O)[M])C(CC(C)(C)C)(C)C)C(CC(C)(C)C)(C)C,0.123970449
82,CCO[P@@](=O)(CCN1c2ccc(cc2-c2c1ccc(c2)C(=O)O)C(=O)O)O[M],0.122955024
83,[M][O]1Cc2cc(cc(c2O)Cc2cc(cc(c2O)Cc2c(c(Cc3c(c(C1)cc(c3)C(C)(C)C)O)cc(c2)C(C)(C)C)O)C(C)(C)C)C(C)(C)C,0.12279886
84,[M]OC(=O)c1ccc(cc1)OP1(=NP(=NP(=N1)(Oc1ccc(cc1)C(=O)O)Oc1ccc(cc1)C(=O)O)(Oc1ccc(cc1)C(=O)O)Oc1ccc(cc1)C(=O)O)Oc1ccc(cc1)C(=O)O,0.122600675
85,CCCC[C@H](C(=O)O[M])C(=O)O,0.122309923
86,[M]O[P@](=O)([C@H](P(=O)(O)O)c1ccc(cc1)C(P(=O)(O)O)P(=O)(O)O)O,0.121728063
87,Oc1c2Cc3cc(cc(c3OC3CCCC3)Cc3cc(cc(Cc4c(c(Cc1cc(c2)C(C)(C)C)cc(c4)C(C)(C)C)[O](C1CCCC1)[M])c3O)C(C)(C)C)C(C)(C)C,0.121328175
88,[M]/[O]=C(\N1CCN(CC/N=C/c2ccccc2O)CCN2[C@@H](c3ccccc3O)[C@@H](N(C2=O)CCN(CCN[C@@H]([C@H]1c1ccccc1O)c1ccccc1O)CC/N=C/c1ccccc1O)c1ccccc1O)/O,0.121268511
89,CCOc1c2Cc3cc(cc4c3OCc3cc(C)cc(-c5cc(cc(-c6c(c(COc7c(Cc1cc(c2)C(C)(C)C)cc(cc7Cc1c(c(C4)cc(c1)C(C)(C)C)[O](CC)[M])C(C)(C)C)cc(C)c6)OC)c5OC)C)c3OC)C(C)(C)C,0.121110439
90,ON[C@H]1C(=O)/C(=N/O)/C(=O)[C@@H](/C/1=[O]/[M])C,0.121084094
91,OC[C@@H](C(=O)O)NCc1ccc(cc1)C(=O)O[M],0.120991826
92,[M][O](CCP(=O)(c1ccccc1)c1ccccc1)CCN(CCOCCP(=O)(c1ccccc1)c1ccccc1)CCOCCP(=O)(c1ccccc1)c1ccccc1,0.120906889
93,O[C@H]1C[C@]2(CC[C@@](O2)(C)[C@H]2CC[C@@](O2)(C)[C@@H]2O[C@H](C[C@@H]2C)[C@H]2O[C@](C)(O)[C@H](C[C@@H]2C)C)O[C@@H]([C@@H]1C)[C@H]([C@H]1O[C@](O)([C@@H]([C@H]([C@H]1C)[O]([M])C)C)[C@@H](C(=O)O)C)C,0.120484412
94,CC[O](c1cccc(c1O)/C=N/N=C(\O)/C)[M],0.120069444
95,O/C(=[O]\[M])/C1=CC=C(O1)C(=O)O,0.119763315
96,[M][O](CCO[B]123[BH]45[BH]673[BH]382[BH]21[BH]193[C@]32[C@]25[BH]546[BH]781[BH]9325)CCOc1ccc(c2c1/C/1=N/C3=N/C(=N\C4=N/C(=N\C5=N/C(=N\C2=N1)/c1ccccc51)/c1c4cccc1)/c1c3cccc1)OCCOCCO[B]123[BH]456[BH]781[BH]12[BH]298[BH]867[BH]675[BH]34[C@@]36[C@]12[BH]9873,0.119726837
97,[M]/[O]=C(/c1ccncc1C(=O)O)\O,0.119357884
98,[M]OCc1cccnc1,0.119174302
99,[M]OC(=O)CN1N=NN=C1c1ncccn1,0.118889809
100,COc1cccc(c1O)/C=N/[C@@H]([C@H](c1ccccc1)/N=C/c1cccc(c1O)[O]([M])C)c1ccccc1,0.118756294
101,[M][O]=C1NC(=O)NC(=O)N1,0.118579865
102,[M][O](c1cccc2c1C1=N/C/2=N\C2=N/C(=N\C3=N/C(=N\C4=N/C(=N\1)/c1cccc(c41)Oc1ccccc1)/c1cccc(c31)Oc1ccccc1)/c1c2c(ccc1)Oc1ccccc1)c1ccccc1,0.118504107
103,[M]OC(=O)c1ccc(cc1)[N](=O)O,0.118461192
104,CO[P@@](=O)([C@]([P@@](=O)(O[M])OC)(C(C)C)O)O,0.11842078
105,[M]/[O]=C(\C[Si](c1c(cc(cc1C(C)C)C(C)C)C(C)C)(c1c(cc(cc1C(C)C)C(C)C)C(C)C)O[Si@@H](c1c(cc(cc1C(C)C)C(C)C)C(C)C)O)/O,0.118359268
106,[M]/[O]=C(\Cc1ccc(cc1)c1ccc(cc1)CC(=O)O)/O,0.117700756
107,[M][O](c1ccc(c2c1C1=N/C/2=N\C2=N/C(=N\C3=N/C(=N\C4=N/C(=N\1)/c1ccccc41)/c1ccccc31)/c1c2cccc1)OCCOCCO[B]123[BH]456[BH]781[BH]12[BH]298[BH]857[BH]576[BH]34[C@@]35[C@]12[BH]9873)CCOCCO[B]123[BH]45[BH]673[BH]382[BH]21[C@]19[C@]%104[BH]456[BH]578[BH]321[BH]9%1045,0.117572486
108,OC(=O)[C@H](c1ccc2c(c1)ccc(c2)[O]([M])C)C,0.117342532
109,[M]O[P@@](=O)(CNCP(=O)(O)O)O,0.117324471
110,[M]/[O]=C(\c1ccc(c(c1)c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)O)/O,0.116977811
111,Cc1cc(C)c(c(c1)C)/C/1=C/2\C=C/C(=C/3\C=CC(=N3)/C(=C/3\N/C(=C(\C4=CC=C1N4)/c1ccc(cc1)[O]([M])C)/C=C3)/c1c(C)cc(cc1C)C)/N2,0.116835237
112,OC1=C([O](/C(=C(/B2N(C=CN2c2c(cccc2C(C)C)C(C)C)c2c(cccc2C(C)C)C(C)C)\O)/O1)[M])B1N(C=CN1c1c(cccc1C(C)C)C(C)C)c1c(cccc1C(C)C)C(C)C,0.116559505
113,[M]OC(=O)c1ccc(nc1)c1ccc(cc1C(=O)O)C(=O)O,0.116420448
114,N[C@H](C(=O)O[M])CC(=O)O,0.11559695
115,O/C(=C\1/OC(=O)/C(=[B]/2\N(C=CN2c2c(cccc2C(C)C)C(C)C)c2c(cccc2C(C)C)C(C)C)/[O]1[M])/B1N(C=CN1c1c(cccc1C(C)C)C(C)C)c1c(cccc1C(C)C)C(C)C,0.115568757
116,CCN(C(=[O][M])N(CC)CC)CC,0.115487754
117,[M]OC[C@H]1O[C@@H]([C@@H]([C@@H]1O[P@](=O)(O[C@@H](CNC(=O)CC[C@@]1(C)/C/2=C(\C)/C3=N/C(=C(/Br)\C4=N/C(=C(\C5=N[C@]([C@@H]([C@@H]1CC(=O)N)N2)(C)[C@@](C)(CC(=O)N)[C@@H]5CCC(=O)N)/C)/[C@@]([C@@H]4CCC(=O)N)(C)CC(=O)N)/C([C@@H]3CCC(=O)N)(C)C)C)O)O)N1C=Nc2c1cc(C)c(c2)C,0.115326583
118,[M][O]1C=CC=C1P(c1ccccc1S(=O)(=O)O)C1=CC=CO1,0.114830375
119,O/C=[O]/[M],0.11469847
120,COCCN(CC(=C)C[Si](C)(C)C)CC[O]([M])C,0.114280343
121,COc1c(cccc1[C@@]1(O[M])[C@]2(C)CC[C@H](C1(C)C)C2)C(C)(C)C,0.114171088
122,[M]OC(=O)c1ccc(cc1)C(F)(F)F,0.114092588
123,CO[C@@H]1[C@@H]2CCC[C@H]1c1cccc(c1OC)COCc1nc(C[O](Cc3c(c2ccc3)OC)[M])ccc1,0.113917112
124,C[O](c1ccc(cc1)/C/1=C\2/N=C(c3c2cccc3)/N=C/2\N=C(c3c2cc2c(c3)C(C)(C)CCC2(C)C)/N=C/2\N=C(/N=C/3\N=C1c1ccccc31)c1cc3c(cc21)C(C)(C)CCC3(C)C)[M],0.113761604
125,[M]O[P@](=O)(CN(Cc1ccccn1)Cc1ccccn1)O,0.113719761
126,[M]/[O]=C(\c1cc(ccc1O)S(=O)(=O)O)/O,0.11365217
127,O=N(=O)c1cc(/C=C/C2=[N](C)c3c(C2(C)C)cccc3)c(c(c1)[O]([M])C)O,0.113546193
128,O/C(=[O]/[M])/C1=CC=CNC1=O,0.113532662
129,OC(=O)/C=C/c1ccc(c(c1)O)[O]([M])C,0.113101304
130,COc1cc(C)c(c(c1)C)[B@](c1c(C)cc(cc1C)[O]([M])C)(C1=CC=CC1)C#N,0.112787545
131,[M]OC(=O)c1ccc(cc1)[Si](c1ccc(cc1)C(=O)O)(C)C,0.112606943
132,C[C@@H](C(=O)O)O[M],0.112578869
133,[M]/[O]=C(/c1ccc(cc1)C1=NC(=C(N1)C(=O)O)C(=O)O)\O,0.112554014
134,[M][O]=[S@](=O)(c1ccc(cc1)C)C,0.112304151
135,CCN1C=C(C(=O)O)C(=O)c2c1cc1OC[O](c1c2)[M],0.112203956
136,[M][O](CCO[B]123[BH]456[BH]781[BH]12[BH]298[BH]857[BH]576[BH]34[C@@]35[C@]12[BH]9873)CCOc1cc(OCCOCCO[B]234[BH]567[BH]892[BH]23[BH]3%109[BH]978[BH]786[BH]45[C@@]47[C@]23[BH]%10984)cc(c1)/C/1=C/2\C=C/C(=C(\c3ccccc3)/C3=N/C(=C(\C4=CC=C(/C(=C/5\N=C1C=C5)/c1ccccc1)N4)/c1cc(OCCOCCO[B]456[BH]789[BH]%10%114[BH]45[BH]5%12%11[BH]%119%10[BH]9%108[BH]67[C@@]69[C@]45[BH]%12%11%106)cc(c1)OCCOCCO[B]145[BH]678[BH]9%101[BH]14[BH]4%11%10[BH]%1089[BH]897[BH]56[C@@]58[C@]14[BH]%11%1095)/C=C3)/N2,0.111346185
137,[M]OCCN(CCS(=O)(=O)O)CCO,0.111329913
138,[M][O](CCO[B]123[BH]456[BH]781[BH]12[BH]298[BH]857[BH]576[BH]34[C@@]35[C@]12[BH]9873)CCSc1ccccc1SCCOCCO[B]123[BH]456[BH]781[BH]12[BH]298[BH]867[BH]675[BH]34[C@@]36[C@]12[BH]9873,0.111258268
139,CCOc1cccc(c1O)/C=N/C[C@@H](/N=C/c1cccc(c1O)[O](CC)[M])C,0.111073077
140,[M]OC(=O)c1ccc(cc1)C#C[C@]12CC[C@](CC1)(CC2)C#Cc1ccncc1,0.110986948
141,[M][O]=[S@@](=O)(c1ccc(c(c1)/C=N/NC(=S)Nc1ccccc1)O)O,0.110976577
142,[M][O](c1ccccc1NC1CCCCC1)c1ccccc1NC1CCCCC1,0.110766351
143,[M]OC(=O)C1=C(N=C(N1)c1ccc(cc1)C)C(=O)O,0.110623896
144,[M]OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC(=C1)C(=O)O,0.110310018
145,[M][O]=C(N)N,0.109970689
146,CCCCCCc1cc(c(cc1c1cc(C)c(cc1C)c1cc(C)c(cc1C)c1ccc(c(c1)O)/C(=[O]/[M])/O)CCCCCC)c1cc(C)c(cc1C)c1cc(C)c(cc1C)c1ccc(c(c1)O)C(=O)O,0.109964073
147,[M]Oc1cc(nc(c1)C(=O)O)C(=O)O,0.109950304
148,[M][O](CCOC(=O)C)CCO[B]123[BH]456[BH]781[BH]12[BH]298[BH]867[BH]675[BH]34[C@@]36[C@]12[BH]9873,0.10991931
149,[M]/[O]=C(\C1=C(N(=O)=O)C(=NN1)C(=O)O)/O,0.109835565
150,[M]/[O]=C(/c1cc(nc(c1)c1cc(cc(n1)C(=O)O)C(=O)O)C(=O)O)\O,0.109378874
151,[M]/[O]=C(\c1ccc(cc1)C)/O,0.109293044
152,[M]O[P@@](=O)(CCP(c1ccccc1)c1ccccc1)O,0.108982444
153,[M]OC(=O)c1ccccc1I,0.108518779
154,[M][O]=[S@](=O)(c1ccc(cc1P(c1cc(ccc1S(=O)(=O)O)C(C)(C)C)c1ccccc1)C(C)(C)C)O,0.108040273
155,[M][O](CCCC[B]123[BH]456[BH]781[BH]12[BH]298[BH]857[BH]576[BH]34[C@@]35[C@]12[BH]9873)CCOCCO[B]123[BH]456[BH]781[BH]12[BH]298[BH]867[BH]675[BH]34[C@@]36[C@]12[BH]9873,0.107750654
